bath,balcony,price,total_sqft_int,bhk,price_per_sqft,area_type,Availability,location
2,1,76,1465,3,5187.713311,Super built-up  Area,Ready To Move,Bannerghatta Road
2,0,67.73,1302.5,2,5200,Super built-up  Area,Ready To Move,Bannerghatta Road
2,2,65,1200,2,5416.666667,Super built-up  Area,Ready To Move,Bannerghatta Road
2,1,65,1240,2,5241.935484,Super built-up  Area,Ready To Move,Bannerghatta Road
3,1,125,1476,3,8468.834688,Super built-up  Area,Ready To Move,Bannerghatta Road
3,0,84.29,1532.5,3,5500.163132,Super built-up  Area,Ready To Move,Bannerghatta Road
2,1,69,1268,2,5441.640379,Super built-up  Area,Ready To Move,Bannerghatta Road
2,2,87,1450,3,6000,Super built-up  Area,Ready To Move,Bannerghatta Road
5,1.584375738,195,2932,4,6650.750341,Super built-up  Area,Ready To Move,Bannerghatta Road
2,3,58,960,2,6041.666667,Super built-up  Area,Ready To Move,Bannerghatta Road
3,1.584375738,130,1750,3,7428.571429,Super built-up  Area,Ready To Move,Bannerghatta Road
2,1,73,1275,2,5725.490196,Super built-up  Area,Ready To Move,Bannerghatta Road
2,1,71,1240,2,5725.806452,Super built-up  Area,Ready To Move,Bannerghatta Road
2,1,68,1215,2,5596.707819,Super built-up  Area,Ready To Move,Bannerghatta Road
2,1,68,1215,2,5596.707819,Super built-up  Area,Ready To Move,Bannerghatta Road
3,1,115,1894,3,6071.805702,Super built-up  Area,Ready To Move,Bannerghatta Road
3,2,89,1693,3,5256.940343,Super built-up  Area,Ready To Move,Bannerghatta Road
2,2,60.16,1280,2,4700,Super built-up  Area,Ready To Move,Bannerghatta Road
1,2,35,630,1,5555.555556,Super built-up  Area,Ready To Move,Bannerghatta Road
2,1,68,1215,2,5596.707819,Super built-up  Area,Ready To Move,Bannerghatta Road
3,1,76.18,1365,3,5580.952381,Super built-up  Area,Ready To Move,Bannerghatta Road
2,2,78,1115,2,6995.515695,Super built-up  Area,Ready To Move,Bannerghatta Road
3,0,79.465,1532.5,3,5185.318108,Super built-up  Area,Ready To Move,Bannerghatta Road
3,3,90,1655,3,5438.066465,Built-up  Area,Ready To Move,Bannerghatta Road
2,1,47.39,1247,2,3800.32077,Super built-up  Area,Ready To Move,Bannerghatta Road
2,0,49.49,1237.5,2,3999.191919,Super built-up  Area,Ready To Move,Bannerghatta Road
3,1,94,1650,3,5696.969697,Super built-up  Area,Ready To Move,Bannerghatta Road
2,1,65,905,2,7182.320442,Super built-up  Area,Ready To Move,Bannerghatta Road
2,1,50,1000,2,5000,Super built-up  Area,Ready To Move,Bannerghatta Road
3,3,120,2185,4,5491.990847,Super built-up  Area,Ready To Move,Bannerghatta Road
2,1,45,1012,2,4446.640316,Super built-up  Area,Ready To Move,Bannerghatta Road
2,2,80,1460,3,5479.452055,Super built-up  Area,Ready To Move,Bannerghatta Road
2,3,85,1340,2,6343.283582,Super built-up  Area,Ready To Move,Bannerghatta Road
3,2,125,1711,3,7305.669199,Super built-up  Area,Ready To Move,Bannerghatta Road
2,3,81,1520,3,5328.947368,Super built-up  Area,Ready To Move,Bannerghatta Road
3,1,148,2826,3,5237.084218,Built-up  Area,Ready To Move,Bannerghatta Road
2,1,61,1115,2,5470.852018,Super built-up  Area,Ready To Move,Bannerghatta Road
2,2,47,1154,2,4072.790295,Super built-up  Area,Ready To Move,Bannerghatta Road
2,1,44.5,1000,2,4450,Super built-up  Area,Ready To Move,Bannerghatta Road
2,0,48,1250,2,3840,Built-up  Area,Ready To Move,Bannerghatta Road
3,2,105,1640,3,6402.439024,Super built-up  Area,Ready To Move,Bannerghatta Road
2,1,44,1012,2,4347.826087,Super built-up  Area,Ready To Move,Bannerghatta Road
3,2,115,1527,3,7531.106745,Super built-up  Area,Ready To Move,Bannerghatta Road
3,2,96,1550,3,6193.548387,Super built-up  Area,Ready To Move,Bannerghatta Road
2,2,78,1200,2,6500,Super built-up  Area,Ready To Move,Bannerghatta Road
3,1,125,1885,3,6631.299735,Super built-up  Area,Ready To Move,Bannerghatta Road
2,2,78,1450,3,5379.310345,Super built-up  Area,Ready To Move,Bannerghatta Road
1,1,31.2,700,1,4457.142857,Super built-up  Area,Ready To Move,Bannerghatta Road
2,1,58,905,2,6408.839779,Super built-up  Area,Ready To Move,Bannerghatta Road
3,3,122,1920,3,6354.166667,Super built-up  Area,Ready To Move,Bannerghatta Road
4,1,180,2400,4,7500,Built-up  Area,Ready To Move,Bannerghatta Road
2,2,45,1270,2,3543.307087,Built-up  Area,Ready To Move,Bannerghatta Road
2,3,80,1520,3,5263.157895,Super built-up  Area,Ready To Move,Bannerghatta Road
2,1,73,1270,3,5748.031496,Built-up  Area,Ready To Move,Bannerghatta Road
3,2,120,1846,3,6500.541712,Super built-up  Area,Ready To Move,Bannerghatta Road
2,0,61.74,1122.5,2,5500.222717,Super built-up  Area,Ready To Move,Bannerghatta Road
3,3,95,1655,3,5740.181269,Super built-up  Area,Ready To Move,Bannerghatta Road
2,3,53,1206,2,4394.693201,Built-up  Area,Ready To Move,Bannerghatta Road
2,2,55,1150,2,4782.608696,Super built-up  Area,Ready To Move,Bannerghatta Road
2,1,65,1215,2,5349.794239,Super built-up  Area,Ready To Move,Bannerghatta Road
2,3,110,1510,3,7284.768212,Super built-up  Area,Ready To Move,Bannerghatta Road
2,1,35,1022,2,3424.657534,Super built-up  Area,Ready To Move,Bannerghatta Road
2,2,47.35,1246,2,3800.160514,Super built-up  Area,Ready To Move,Bannerghatta Road
2,1,85,1470,3,5782.312925,Super built-up  Area,Ready To Move,Bannerghatta Road
2,2,45,1160,2,3879.310345,Super built-up  Area,Ready To Move,Bannerghatta Road
2,1,57,970,2,5876.28866,Super built-up  Area,Ready To Move,Bannerghatta Road
3,1,142,1527,3,9299.279633,Built-up  Area,Ready To Move,Bannerghatta Road
2,1,60,1100,2,5454.545455,Built-up  Area,Ready To Move,Whitefield
2,2,42,1045,2,4019.138756,Built-up  Area,Ready To Move,Whitefield
2,1,60,1100,2,5454.545455,Super built-up  Area,Ready To Move,Whitefield
2,2,55,1301,2,4227.517294,Super built-up  Area,Ready To Move,Whitefield
2,2,70,1540,3,4545.454545,Super built-up  Area,Ready To Move,Whitefield
3,2,72,1440,3,5000,Super built-up  Area,Ready To Move,Whitefield
2,2,52,1294,3,4018.547141,Super built-up  Area,Ready To Move,Whitefield
2,1,60,1100,2,5454.545455,Super built-up  Area,Ready To Move,Whitefield
2,2,70,1405,2,4982.206406,Built-up  Area,Ready To Move,Whitefield
2,1,60.1,1182,3,5084.602369,Super built-up  Area,Ready To Move,Whitefield
2,0,80,2400,3,3333.333333,Super built-up  Area,Ready To Move,Whitefield
3,2,25,2000,4,1250,Plot  Area,Ready To Move,Whitefield
2,1,70,1428,3,4901.960784,Super built-up  Area,Ready To Move,Whitefield
2,2,68,1220,2,5573.770492,Built-up  Area,Ready To Move,Whitefield
2,2,38.52,1095,2,3517.808219,Super built-up  Area,Ready To Move,Whitefield
2,1,65,1165,2,5579.399142,Super built-up  Area,Ready To Move,Whitefield
2,2,105,1036,2,10135.13514,Super built-up  Area,Ready To Move,Whitefield
4,3,260,2600,4,10000,Super built-up  Area,Ready To Move,Whitefield
2,2,160,1600,3,10000,Super built-up  Area,Ready To Move,Whitefield
2,2,145,1560,2,9294.871795,Built-up  Area,Ready To Move,Whitefield
3,2,195,1800,3,10833.33333,Super built-up  Area,Ready To Move,Whitefield
2,3,93,1100,2,8454.545455,Super built-up  Area,Ready To Move,Whitefield
2,1,103,1050,2,9809.52381,Built-up  Area,Ready To Move,Whitefield
2,3,124,1180,2,10508.47458,Super built-up  Area,Ready To Move,Whitefield
2,3,120,1200,2,10000,Super built-up  Area,Ready To Move,Whitefield
3,2,250,2453,4,10191.60212,Super built-up  Area,Ready To Move,Whitefield
3,2,95,1645,3,5775.075988,Built-up  Area,Ready To Move,Whitefield
3,2,95,1645,3,5775.075988,Super built-up  Area,Ready To Move,Whitefield
5,1,415,4500,5,9222.222222,Plot  Area,Ready To Move,Whitefield
3,3,145,1865,3,7774.798928,Built-up  Area,Ready To Move,Whitefield
2,0,90,1200,2,7500,Super built-up  Area,Ready To Move,Whitefield
4,1,310,2400,5,12916.66667,Plot  Area,Ready To Move,Whitefield
2,2,80,1200,2,6666.666667,Built-up  Area,Ready To Move,Whitefield
2,1,60,900,2,6666.666667,Built-up  Area,Ready To Move,Whitefield
3,3,150,1900,3,7894.736842,Super built-up  Area,Ready To Move,Whitefield
2,2,85,1200,2,7083.333333,Built-up  Area,Ready To Move,Whitefield
2,1,70,1200,2,5833.333333,Built-up  Area,Ready To Move,Whitefield
2,1,25,581.91,1,4296.197006,Super built-up  Area,Ready To Move,Whitefield
3,2,85,1680,3,5059.52381,Super built-up  Area,Ready To Move,Whitefield
4,3,95,1950,3,4871.794872,Super built-up  Area,Ready To Move,Whitefield
2,1,43,1055,2,4075.829384,Super built-up  Area,Ready To Move,Whitefield
2,1,65,1200,2,5416.666667,Plot  Area,Ready To Move,Whitefield
3,2,89.61,1779,3,5037.099494,Super built-up  Area,Ready To Move,Whitefield
2,1,50,1300,2,3846.153846,Super built-up  Area,Ready To Move,Whitefield
3,2,97.42,1945,3,5008.74036,Super built-up  Area,Ready To Move,Whitefield
3,2,100,1777,3,5627.462015,Super built-up  Area,Ready To Move,Whitefield
2,3,43,1135,2,3788.546256,Super built-up  Area,Ready To Move,Whitefield
2,2,45,1276,2,3526.645768,Super built-up  Area,Ready To Move,Whitefield
3,2,94.36,1880,3,5019.148936,Super built-up  Area,Ready To Move,Whitefield
2,1,62,1071,2,5788.98226,Super built-up  Area,Ready To Move,Whitefield
2,1,43,1165,2,3690.987124,Super built-up  Area,Ready To Move,Whitefield
2,2,82.89,1636,2,5066.625917,Super built-up  Area,Ready To Move,Whitefield
3,2,90,1779,3,5059.021922,Super built-up  Area,Ready To Move,Whitefield
2,2,38.37,1090,2,3520.183486,Super built-up  Area,Ready To Move,Whitefield
3,2,104,2082,3,4995.196926,Super built-up  Area,Ready To Move,Whitefield
3,2,103,2024,3,5088.932806,Super built-up  Area,Ready To Move,Whitefield
2,1,49,1097,2,4466.727438,Super built-up  Area,Ready To Move,Whitefield
2,2,59,1419,3,4157.857646,Super built-up  Area,Ready To Move,Whitefield
3,2,75,1580,3,4746.835443,Built-up  Area,Ready To Move,Whitefield
3,2,63,1559,3,4041.051956,Built-up  Area,Ready To Move,Whitefield
2,2,47.1,1445,3,3259.515571,Super built-up  Area,Ready To Move,Whitefield
2,2,74,1475,3,5016.949153,Built-up  Area,Ready To Move,Whitefield
4,2,185,3500,3,5285.714286,Built-up  Area,Ready To Move,Whitefield
2,2,55,1100,2,5000,Super built-up  Area,Ready To Move,Whitefield
2,3,65,1306,2,4977.029096,Built-up  Area,Ready To Move,Whitefield
3,0,65,1304,3,4984.662577,Super built-up  Area,Ready To Move,Whitefield
2,2,60,1411,3,4252.303331,Super built-up  Area,Ready To Move,Whitefield
2,1,40,815,2,4907.97546,Super built-up  Area,Ready To Move,Whitefield
2,2,70,1443,3,4851.004851,Super built-up  Area,Ready To Move,Whitefield
2,2,44,1200,2,3666.666667,Super built-up  Area,Ready To Move,Begur Road
2,2,46.8,1200,2,3900,Super built-up  Area,Ready To Move,Begur Road
2,2,44,1160,2,3793.103448,Super built-up  Area,Ready To Move,Begur Road
3,1.584375738,65,1584,3,4103.535354,Super built-up  Area,Ready To Move,Begur Road
3,2,59.76,1615,3,3700.309598,Super built-up  Area,Ready To Move,Begur Road
2,2,43.2,1200,2,3600,Super built-up  Area,Ready To Move,Begur Road
2,2,44.08,1160,2,3800,Super built-up  Area,Ready To Move,Begur Road
2,2,45,1200,2,3750,Super built-up  Area,Ready To Move,Begur Road
3,2,60,1615,3,3715.170279,Super built-up  Area,Ready To Move,Begur Road
2,3,53,1410,3,3758.865248,Super built-up  Area,Ready To Move,Begur Road
2,2,37.8,1200,2,3150,Super built-up  Area,Ready To Move,Begur Road
2,2,40.59,1160,2,3499.137931,Super built-up  Area,Ready To Move,Begur Road
2,2,46.62,1260,2,3700,Super built-up  Area,Ready To Move,Begur Road
3,2,58.14,1600,3,3633.75,Built-up  Area,Ready To Move,Begur Road
2,3,70,1500,3,4666.666667,Super built-up  Area,Ready To Move,Begur Road
2,2,42,1160,2,3620.689655,Super built-up  Area,Ready To Move,Begur Road
2,2,39.06,1240,2,3150,Super built-up  Area,Ready To Move,Begur Road
2,2,45,1200,2,3750,Super built-up  Area,Ready To Move,Begur Road
2,3,55,1500,3,3666.666667,Super built-up  Area,Ready To Move,Begur Road
2,3,52.17,1410,3,3700,Super built-up  Area,Ready To Move,Begur Road
3,1,74.4,1583,3,4699.936829,Super built-up  Area,Ready To Move,Begur Road
2,2,46,1170,2,3931.623932,Super built-up  Area,Ready To Move,Begur Road
2,2,42.92,1160,2,3700,Super built-up  Area,Ready To Move,Begur Road
2,3,52.17,1410,3,3700,Super built-up  Area,Ready To Move,Begur Road
2,2,59.76,1565,3,3818.530351,Super built-up  Area,Ready To Move,Begur Road
2,2,42,1160,2,3620.689655,Super built-up  Area,Ready To Move,Begur Road
2,3,53.58,1410,3,3800,Super built-up  Area,Ready To Move,Begur Road
2,2,45,1200,2,3750,Super built-up  Area,Ready To Move,Begur Road
2,2,42.6,1200,2,3550,Super built-up  Area,Ready To Move,Begur Road
2,2,42,1160,2,3620.689655,Super built-up  Area,Ready To Move,Begur Road
2,3,42.69,1334,2,3200.149925,Super built-up  Area,Ready To Move,Begur Road
2,2,57.91,1565,3,3700.319489,Super built-up  Area,Ready To Move,Begur Road
2,2,45.6,1200,2,3800,Super built-up  Area,Ready To Move,Begur Road
2,2,43.13,1215,2,3549.794239,Super built-up  Area,Ready To Move,Begur Road
2,2,36.54,1160,2,3150,Super built-up  Area,Ready To Move,Begur Road
2,2,44.4,1200,2,3700,Super built-up  Area,Ready To Move,Begur Road
2,1,39.69,1260,2,3150,Super built-up  Area,Ready To Move,Begur Road
2,2,44,1160,2,3793.103448,Super built-up  Area,Ready To Move,Begur Road
2,1,42,952,2,4411.764706,Super built-up  Area,Ready To Move,Begur Road
2,2,42,1200,2,3500,Super built-up  Area,Ready To Move,Begur Road
2,2,45.88,1240,2,3700,Super built-up  Area,Ready To Move,Begur Road
3,0,50,1200,3,4166.666667,Plot  Area,Ready To Move,Begur Road
2,2,44,1200,2,3666.666667,Super built-up  Area,Ready To Move,Begur Road
2,2,42.6,1100,2,3872.727273,Built-up  Area,Ready To Move,Begur Road
2,2,57.91,1565,3,3700.319489,Super built-up  Area,Ready To Move,Begur Road
2,2,44.4,1200,2,3700,Super built-up  Area,Ready To Move,Begur Road
2,2,36.54,1160,2,3150,Super built-up  Area,Ready To Move,Begur Road
2,1,43.75,1215,2,3600.823045,Super built-up  Area,Ready To Move,Begur Road
2,2,44.73,1200,2,3727.5,Built-up  Area,Ready To Move,Begur Road
2,2,42,1160,2,3620.689655,Super built-up  Area,Ready To Move,Begur Road
2,3,54.99,1410,3,3900,Super built-up  Area,Ready To Move,Begur Road
2,1,53,1254,2,4226.475279,Super built-up  Area,Ready To Move,Whitefield
2,1,38,1050,2,3619.047619,Super built-up  Area,Ready To Move,Whitefield
2,2,58,1260,2,4603.174603,Super built-up  Area,Ready To Move,Whitefield
2,2,59,1275,2,4627.45098,Super built-up  Area,Ready To Move,Whitefield
3,1,103,1767,3,5829.088851,Super built-up  Area,Ready To Move,Bellandur
2,3,66,1205,2,5477.178423,Built-up  Area,Ready To Move,Bellandur
2,1,76,1250,2,6080,Super built-up  Area,Ready To Move,Bellandur
2,2,50,1000,2,5000,Super built-up  Area,Ready To Move,Bellandur
2,1,74,1281,2,5776.736924,Super built-up  Area,Ready To Move,Bellandur
2,2,40,921,2,4343.10532,Super built-up  Area,Ready To Move,Bellandur
2,2,98,1490,3,6577.181208,Super built-up  Area,Ready To Move,Bellandur
2,2,60,1220,2,4918.032787,Super built-up  Area,Ready To Move,Bellandur
2,2,82,1299,2,6312.548114,Super built-up  Area,Ready To Move,Bellandur
2,2,56,900,2,6222.222222,Super built-up  Area,Ready To Move,Bellandur
2,1,79,1350,2,5851.851852,Built-up  Area,Ready To Move,Bellandur
2,2,57,1286,2,4432.348367,Super built-up  Area,Ready To Move,Bellandur
2,2,85,1457,2,5833.905285,Super built-up  Area,Ready To Move,Bellandur
2,2,51,1195,2,4267.782427,Super built-up  Area,Ready To Move,Bellandur
2,2,72,1050,2,6857.142857,Super built-up  Area,Ready To Move,Bellandur
2,2,72,1310,2,5496.183206,Super built-up  Area,Ready To Move,Bellandur
3,3,118,1785,3,6610.644258,Super built-up  Area,Ready To Move,Bellandur
2,2,60,1051,2,5708.848716,Super built-up  Area,Ready To Move,Bellandur
2,1,65,1060,2,6132.075472,Super built-up  Area,Ready To Move,Bellandur
2,3,62,1100,2,5636.363636,Super built-up  Area,Ready To Move,Bellandur
3,3,100,1685,3,5934.718101,Super built-up  Area,Ready To Move,Bellandur
2,2,55,982,2,5600.814664,Super built-up  Area,Ready To Move,Bellandur
2,1,59,1205,2,4896.26556,Super built-up  Area,Ready To Move,Bellandur
2,1,58,1063,2,5456.25588,Super built-up  Area,Ready To Move,Bellandur
2,2,59.99,1201,2,4995.004163,Super built-up  Area,Ready To Move,Bellandur
2,2,65,1325,2,4905.660377,Super built-up  Area,Ready To Move,Bellandur
2,2,87,1281,2,6791.569087,Super built-up  Area,Ready To Move,Bellandur
2,1,52,1200,2,4333.333333,Super built-up  Area,Ready To Move,Bellandur
3,2,120,1785,3,6722.689076,Built-up  Area,Ready To Move,Bellandur
2,2,48,1088,2,4411.764706,Super built-up  Area,Ready To Move,Bellandur
2,2,85,1310,2,6488.549618,Super built-up  Area,Ready To Move,Bellandur
3,3,90,1465,2,6143.34471,Built-up  Area,Ready To Move,Bellandur
3,2,109,1767,3,6168.647425,Super built-up  Area,Ready To Move,Bellandur
4,1.584375738,245,3600,4,6805.555556,Built-up  Area,Ready To Move,Bellandur
2,1,69.44,1150,2,6038.26087,Super built-up  Area,Ready To Move,Bellandur
3,2,92,1410,2,6524.822695,Super built-up  Area,Ready To Move,Bellandur
2,1,60,1015,2,5911.330049,Super built-up  Area,Ready To Move,Bellandur
3,3,101,1685,3,5994.065282,Super built-up  Area,Ready To Move,Bellandur
3,3,105,1735,3,6051.873199,Built-up  Area,Ready To Move,Bellandur
3,3,115,1685,3,6824.925816,Built-up  Area,Ready To Move,Bellandur
2,1,51,1049,2,4861.773117,Super built-up  Area,Ready To Move,Bellandur
2,1,63,1211,2,5202.312139,Built-up  Area,Ready To Move,Bellandur
3,2,110,1717,3,6406.523005,Super built-up  Area,Ready To Move,Bellandur
2,1,62,1200,2,5166.666667,Super built-up  Area,Ready To Move,Bellandur
2,2,48,960,2,5000,Built-up  Area,Ready To Move,Bellandur
2,2,116,1690,3,6863.905325,Super built-up  Area,Ready To Move,Bellandur
1,1,40,950,1,4210.526316,Super built-up  Area,Ready To Move,Bellandur
2,1,45,850,2,5294.117647,Built-up  Area,Ready To Move,Bellandur
2,1,90,1454,2,6189.821183,Super built-up  Area,Ready To Move,Bellandur
2,1,52,1195,2,4351.464435,Super built-up  Area,Ready To Move,Bellandur
2,2,83.5,1260,2,6626.984127,Super built-up  Area,Ready To Move,Bellandur
3,1.584375738,90,1535,3,5863.192182,Super built-up  Area,Ready To Move,Bellandur
2,1,75,1047,2,7163.323782,Super built-up  Area,Ready To Move,Bellandur
2,1,45,900,2,5000,Built-up  Area,Ready To Move,Whitefield
2,2,48.79,1220,2,3999.180328,Super built-up  Area,Ready To Move,Whitefield
2,0,42.5,1025,2,4146.341463,Built-up  Area,Ready To Move,Whitefield
2,1,43.5,1050,2,4142.857143,Super built-up  Area,Ready To Move,Whitefield
3,0,95,1200,3,7916.666667,Plot  Area,Ready To Move,Whitefield
4,1.584375738,350,3200,3,10937.5,Super built-up  Area,Ready To Move,Whitefield
5,1.584375738,650,4460,4,14573.99103,Super built-up  Area,Ready To Move,Whitefield
4,3,470,2850,3,16491.22807,Super built-up  Area,Ready To Move,Whitefield
2,1,120,1300,2,9230.769231,Super built-up  Area,Ready To Move,Whitefield
3,0,140,1567,2,8934.269304,Built-up  Area,Ready To Move,Whitefield
2,1,270,1688.12,2,15994.12364,Plot  Area,Ready To Move,Whitefield
3,2,280,1805,3,15512.46537,Built-up  Area,Ready To Move,Whitefield
2,0,280,1688,2,16587.67773,Plot  Area,Ready To Move,Whitefield
2,1,33,960,2,3437.5,Super built-up  Area,Ready To Move,Whitefield
1,0,19,560,1,3392.857143,Super built-up  Area,Ready To Move,Whitefield
4,0,445,4046,4,10998.51705,Built-up  Area,Ready To Move,Whitefield
3,1,85,1200,3,7083.333333,Plot  Area,Ready To Move,Whitefield
1,1,22.5,540,1,4166.666667,Super built-up  Area,Ready To Move,Whitefield
2,2,68,1322,2,5143.721634,Super built-up  Area,Ready To Move,Whitefield
2,2,70,1351,2,5181.34715,Super built-up  Area,Ready To Move,Whitefield
2,2,59,1384,2,4263.00578,Super built-up  Area,Ready To Move,Whitefield
2,2,74,1351,2,5477.42413,Super built-up  Area,Ready To Move,Whitefield
2,2,68,1432,2,4748.603352,Super built-up  Area,Ready To Move,Whitefield
2,2,56.7,1349,2,4203.113417,Super built-up  Area,Ready To Move,Whitefield
2,2,69,1328,2,5195.783133,Super built-up  Area,Ready To Move,Whitefield
2,2,55.86,1300,2,4296.923077,Built-up  Area,Ready To Move,Whitefield
3,1,99,1670,3,5928.143713,Super built-up  Area,Ready To Move,Bhoganhalli
2,1,75.97,1444,2,5261.080332,Super built-up  Area,Ready To Move,Bhoganhalli
2,1,75.97,1447,2,5250.172771,Super built-up  Area,Ready To Move,Bhoganhalli
3,2,126,1700,3,7411.764706,Built-up  Area,Ready To Move,Bhoganhalli
2,1,75.97,1447,2,5250.172771,Super built-up  Area,Ready To Move,Bhoganhalli
3,2,127,1760,3,7215.909091,Super built-up  Area,Ready To Move,Bhoganhalli
2,1,75.97,1447,2,5250.172771,Super built-up  Area,Ready To Move,Bhoganhalli
3,2,129,1949,3,6618.778861,Super built-up  Area,Ready To Move,Bhoganhalli
3,2,128,1760,3,7272.727273,Super built-up  Area,Ready To Move,Bhoganhalli
2,1,75.97,1447,2,5250.172771,Super built-up  Area,Ready To Move,Bhoganhalli
4,3,185,2439,4,7585.075851,Super built-up  Area,Ready To Move,Bhoganhalli
2,1,75.97,1444,2,5261.080332,Super built-up  Area,Ready To Move,Bhoganhalli
2,2,64.47,1205,2,5350.207469,Super built-up  Area,Ready To Move,Bhoganhalli
2,1,75.97,1447,2,5250.172771,Super built-up  Area,Ready To Move,Bhoganhalli
5,2,170,2439,4,6970.069701,Built-up  Area,Ready To Move,Bhoganhalli
2,1,68.32,1205,2,5669.709544,Super built-up  Area,Ready To Move,Bhoganhalli
2,1,69.9,1260,2,5547.619048,Super built-up  Area,Ready To Move,Bhoganhalli
4,3,170,2439,4,6970.069701,Super built-up  Area,Ready To Move,Bhoganhalli
3,2,115,1707,3,6736.965436,Super built-up  Area,Ready To Move,Bhoganhalli
2,1,52.5,970,2,5412.371134,Built-up  Area,Ready To Move,Bhoganhalli
2,1,79.89,1277,2,6256.068912,Super built-up  Area,Ready To Move,Bhoganhalli
3,2,120,1703,3,7046.388726,Super built-up  Area,Ready To Move,Bhoganhalli
3,0,170,2150,3,7906.976744,Super built-up  Area,Ready To Move,Whitefield
2,2,57,1100,2,5181.818182,Built-up  Area,Ready To Move,Whitefield
2,1,45,900,2,5000,Super built-up  Area,Ready To Move,Whitefield
2,2,68.48,1280,2,5350,Built-up  Area,Ready To Move,Whitefield
3,0,185,2400,4,7708.333333,Built-up  Area,Ready To Move,Whitefield
2,2,110,1600,2,6875,Plot  Area,Ready To Move,Whitefield
4,0,225,3600,4,6250,Built-up  Area,Ready To Move,Whitefield
2,0,72,1800,3,4000,Plot  Area,Ready To Move,Whitefield
4,2,255,4200,4,6071.428571,Built-up  Area,Ready To Move,Whitefield
3,2,68,1450,3,4689.655172,Super built-up  Area,Ready To Move,Whitefield
3,3,82,1654,3,4957.678356,Super built-up  Area,Ready To Move,Whitefield
7,2,110,2400,6,4583.333333,Plot  Area,Ready To Move,Whitefield
4,1.584375738,250,5400,4,4629.62963,Plot  Area,Ready To Move,Whitefield
7,2,107,2400,6,4458.333333,Plot  Area,Ready To Move,Whitefield
2,2,62,1125,2,5511.111111,Super built-up  Area,Ready To Move,Whitefield
2,3,52,1090,2,4770.642202,Super built-up  Area,Ready To Move,Whitefield
2,2,62,1112,2,5575.539568,Super built-up  Area,Ready To Move,Whitefield
3,1,150,2400,3,6250,Built-up  Area,Ready To Move,Whitefield
3,1.584375738,225,2968,3,7580.862534,Super built-up  Area,Ready To Move,Whitefield
2,1,58.11,950,2,6116.842105,Super built-up  Area,Ready To Move,Whitefield
2,3,110,1360,2,8088.235294,Super built-up  Area,Ready To Move,Whitefield
2,1,65,1125,2,5777.777778,Super built-up  Area,Ready To Move,Whitefield
2,2,56,950,2,5894.736842,Super built-up  Area,Ready To Move,Whitefield
3,3,134,1805,3,7423.822715,Built-up  Area,Ready To Move,Whitefield
3,1,122,1755,3,6951.566952,Super built-up  Area,Ready To Move,Whitefield
1,0,50.75,665,1,7631.578947,Super built-up  Area,Ready To Move,Whitefield
1,1,54,660,1,8181.818182,Super built-up  Area,Ready To Move,Whitefield
1,1,62,660,1,9393.939394,Super built-up  Area,Ready To Move,Whitefield
2,1,122,1365,2,8937.728938,Super built-up  Area,Ready To Move,Whitefield
3,2,139,1795,3,7743.732591,Super built-up  Area,Ready To Move,Whitefield
3,1,150,1740,3,8620.689655,Super built-up  Area,Ready To Move,Whitefield
3,2,164,1970,3,8324.873096,Super built-up  Area,Ready To Move,Whitefield
3,1,147,1516,3,9696.569921,Super built-up  Area,Ready To Move,Whitefield
3,2,48,1180,3,4067.79661,Super built-up  Area,Ready To Move,Bisuvanahalli
2,1,46,1075,3,4279.069767,Super built-up  Area,Ready To Move,Bisuvanahalli
2,1,45,1075,3,4186.046512,Super built-up  Area,Ready To Move,Bisuvanahalli
2,1,33,845,2,3905.325444,Built-up  Area,Ready To Move,Bisuvanahalli
2,1,45,1075,3,4186.046512,Super built-up  Area,Ready To Move,Bisuvanahalli
2,1,37,845,2,4378.698225,Super built-up  Area,Ready To Move,Bisuvanahalli
2,1,29,845,2,3431.952663,Super built-up  Area,Ready To Move,Bisuvanahalli
2,1,47,1075,3,4372.093023,Super built-up  Area,Ready To Move,Bisuvanahalli
1,1,32,850,2,3764.705882,Super built-up  Area,Ready To Move,Bisuvanahalli
2,1,50,1075,3,4651.162791,Super built-up  Area,Ready To Move,Bisuvanahalli
2,1,52,1075,3,4837.209302,Super built-up  Area,Ready To Move,Bisuvanahalli
2,1,46,1180,3,3898.305085,Super built-up  Area,Ready To Move,Bisuvanahalli
2,1,42,1075,3,3906.976744,Super built-up  Area,Ready To Move,Bisuvanahalli
2,1,37,845,2,4378.698225,Super built-up  Area,Ready To Move,Bisuvanahalli
2,1,43,1075,3,4000,Super built-up  Area,Ready To Move,Bisuvanahalli
1,1,32,700,2,4571.428571,Built-up  Area,Ready To Move,Bisuvanahalli
2,1,52,1075,3,4837.209302,Super built-up  Area,Ready To Move,Bisuvanahalli
2,1,50,1075,3,4651.162791,Super built-up  Area,Ready To Move,Bisuvanahalli
2,1,33,845,2,3905.325444,Super built-up  Area,Ready To Move,Bisuvanahalli
2,1,33,945,2,3492.063492,Super built-up  Area,Ready To Move,Bisuvanahalli
2,1,30,845,2,3550.295858,Built-up  Area,Ready To Move,Bisuvanahalli
2,1,43,1075,3,4000,Super built-up  Area,Ready To Move,Bisuvanahalli
2,1,45,1080,3,4166.666667,Built-up  Area,Ready To Move,Bisuvanahalli
